Date,Open,High,Low,Close,Adj Close,Volume
9/4/18,2026.5,2050.5,2013,2039.51001,2039.51001,5721100
9/5/18,2038.109985,2040.380005,1989.890015,1994.819946,1994.819946,8220600
9/6/18,2006.51001,2007.5,1935.209961,1958.310059,1958.310059,7488700
9/7/18,1938.709961,1975.199951,1937.349976,1952.069946,1952.069946,4892600
9/10/18,1971,1973.040039,1931.52002,1939.01001,1939.01001,4544800
9/11/18,1928.27002,1988.880005,1917,1987.150024,1987.150024,5033600
9/12/18,1994,2000,1962.439941,1990,1990,4414000
9/13/18,2000,2008.76001,1982.030029,1989.869995,1989.869995,3621500
9/14/18,1992.930054,1993.650024,1959.219971,1970.189941,1970.189941,3642000
9/17/18,1954.72998,1956.819946,1887.410034,1908.030029,1908.030029,7050200
9/18/18,1918.650024,1958.199951,1915.439941,1941.050049,1941.050049,4268700
9/19/18,1940.5,1940.829956,1904.900024,1926.420044,1926.420044,4056800
9/20/18,1938.579956,1955,1932.25,1944.300049,1944.300049,3154900
9/21/18,1954.219971,1957.310059,1910.5,1915.01001,1915.01001,6855900
9/24/18,1903.790039,1936.880005,1865,1934.359985,1934.359985,4213700
9/25/18,1942.900024,1975.910034,1938.849976,1974.550049,1974.550049,4538400
9/26/18,1968.5,1995.25,1961.52002,1974.849976,1974.849976,4313500
9/27/18,1993.23999,2016.160034,1988.579956,2012.97998,2012.97998,4329400
9/28/18,2004.410034,2026.52002,1996.459961,2003,2003,4085100
10/1/18,2021.98999,2033.189941,2003.599976,2004.359985,2004.359985,3460500
10/2/18,1999.98999,2013.390015,1965.77002,1971.310059,1971.310059,5369500